num_vert,p_10,p_25,p_50,p_75,p_100
10,0.0000017,0.0000021,0.0000021,0.0000027,0.0000024
25,0.0000038,0.0000044,0.0000046,0.0000052,0.0000054
50,0.0000085,0.0000097,0.000011,0.000011,0.000013
75,0.000015,0.000016,0.000018,0.000019,0.00002
100,0.000022,0.000023,0.000026,0.000028,0.000031
